Task ID,Task,ONET code,Unique Code,RAI_Type,RAI_Code,Application_Grouping,Application_Grouping_Code,Hydropower_Application_Code,Hydropower Application,RAI Technology Detail,Primary Performer,Performer capability,PR,Supporter,Supporter role,SR,Automation,Requirement,Performance,Limitations,Citation,Publication Year,Input Job Title,ONET Title,Additional Occupation Titles
M99,"Install, test, calibrate, and maintain meters and protective relays (meter/relay technician tasks).",47-2111.00,120.2.022,Machine Learning (ML),120,Equipment Fault Diagnosis and Predictive Maintenance,2,022,"Detects component failures or deterioration, uses prognosis for predictive maintenance scheduling.","ML-based condition monitoring, fault diagnosis, and prognostics/predictive maintenance",RAI,G,G,Human,O/Y,O,8.5,NA,NA,NA,"[55] L. Selak, P. Butala, and A. Sluga, “Condition monitoring and fault diagnostics for hydropower plants,” Comput. Ind., vol. 65, no. 6, pp. 924–936, 2014.
[50] T. M. Welte, J. Foros, M. H. Nielsen, and M. Adsten, “MonitorX - Experience from a Norwegian-Swedish research project on industry 4.0 and digitalization applied to fault detection and maintenance of hydropower plants,” 2018.
[56] T. M. Welte, J. Foros, M. H. Nielsen, and M. Adsten, “MonitorX--Experience from a Norwegian-Swedish research project on industry 4.0 and digitalization applied to fault detection and maintenance of hydropower plants,” Hydro 2018-Progress through partnership, Gdansk, Poland, 15-17 Oct. 2018, 2018.
[57] A. Åsnes, A. Willersrud, F. Kretz, and L. Imsland, “Predictive maintenance and life cycle estimation for hydro power plants with real-time analytics,” Predict. Maint. life cycle Estim. hydro power plants with real-time Anal., 2018.
[58] N. Khan, L. Hasan, Y. Afridi, and A. Rashid, “Comparison of Machine Learning Techniques in Prognostic Maintenance of Hydro Power Plant Subsystem,” vol. 17, no. 2, pp. 31–37, 2019.
[51] X. Zheng, Z. Gui, and Y. Wang, “Support vector machine model based on glowworm swarm optimization in application of vibrant fault diagnosis for hydro-turbine generating unit,” Proc. 2017 IEEE 3rd Inf. Technol. Mechatronics Eng. Conf. ITOEC 2017, vol. 2017-Janua, pp. 238–241, 2017.",9,Electrician,Electricians,Electrician
M99,"Install, test, calibrate, and maintain meters and protective relays (meter/relay technician tasks).",47-2111.00,124.2.027,Deep Learning,124,Equipment Fault Diagnosis and Predictive Maintenance,2,027,"Diagnose equipment fault types, severity, and affected components based on detected operational anomalies.",Latent-space clustering and reconstruction-error analysis for fault severity assessment,Human,G,G,RAI,G (efficiency and sensitivity improvement),G,1,Same sensing infrastructure; trained VAE models; visualization of 2D latent space,Clear clustering of healthy vs. faulty states; monotonic trend in latent-space barycenters with increasing fault severity,Diagnosis demonstrated for specific fault types (ITSC); generalization to other faults requires retraining and validation,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Electrician,Electricians,Electrician
M99,"Install, test, calibrate, and maintain meters and protective relays (meter/relay technician tasks).",47-2111.00,410.4.090,Robotics - ROV,410,Intelligent Security and Condition Monitoring,4,090,"Patrol and inspect substation equipment to monitor operational status, identify overheating, and detect abnormal equipment conditions.",Autonomous mobile inspection robots with visual and infrared sensing,RAI,G,G,Human,O/Y,O,8.5,"Wheeled robots, infrared thermography, visible-light cameras, navigation and localization systems, substation data centers",Widespread deployment (>400 robots in >900 substations); enabled continuous inspection and unattended substation operation,Navigation robustness and perception accuracy affected by environmental complexity; integration with legacy systems required,Wang et al. 2011; Li et al. 2014; Su 2015,2015,Electrician,Electricians,Electrician
M98,"Install, maintain, and repair communications systems (in addition to power, lighting, and control systems).",47-2111.00,124.2.027,Deep Learning,124,Equipment Fault Diagnosis and Predictive Maintenance,2,027,"Diagnose equipment fault types, severity, and affected components based on detected operational anomalies.",Latent-space clustering and reconstruction-error analysis for fault severity assessment,Human,G,G,RAI,G (efficiency and sensitivity improvement),G,1,Same sensing infrastructure; trained VAE models; visualization of 2D latent space,Clear clustering of healthy vs. faulty states; monotonic trend in latent-space barycenters with increasing fault severity,Diagnosis demonstrated for specific fault types (ITSC); generalization to other faults requires retraining and validation,"Bechara, Helene; Ibrahim, Rony; Tahan, Antoine; Zemouri, Ryad; Merkhouf, Arezki; Kedjar, Bachir; Al-Haddad, Kamal",2024,Electrician,Electricians,Electrician
M98,"Install, maintain, and repair communications systems (in addition to power, lighting, and control systems).",47-2111.00,410.4.090,Robotics - ROV,410,Intelligent Security and Condition Monitoring,4,090,"Patrol and inspect substation equipment to monitor operational status, identify overheating, and detect abnormal equipment conditions.",Autonomous mobile inspection robots with visual and infrared sensing,RAI,G,G,Human,O/Y,O,8.5,"Wheeled robots, infrared thermography, visible-light cameras, navigation and localization systems, substation data centers",Widespread deployment (>400 robots in >900 substations); enabled continuous inspection and unattended substation operation,Navigation robustness and perception accuracy affected by environmental complexity; integration with legacy systems required,Wang et al. 2011; Li et al. 2014; Su 2015,2015,Electrician,Electricians,Electrician
M98,"Install, maintain, and repair communications systems (in addition to power, lighting, and control systems).",47-2111.00,430.4.152,Crawler,430,Intelligent Security and Condition Monitoring,4,152,"Safety and emergency operations (E-stop, audio/visual signals)",NA,RAI,G,G,Human,G,G,8,NA,NA,NA,NA,NA,Electrician,Electricians,Electrician
M98,"Install, maintain, and repair communications systems (in addition to power, lighting, and control systems).",47-2111.00,420.4.174,ROV,420,Intelligent Security and Condition Monitoring,4,174,Establish communications link and execute teleoperation,NA,RAI,O,O,Human,O,O,3,NA,NA,NA,NA,NA,Electrician,Electricians,Electrician
M98,"Install, maintain, and repair communications systems (in addition to power, lighting, and control systems).",47-2111.00,400.4.091,Robotics,400,Intelligent Security and Condition Monitoring,4,091,Perform live maintenance operations on substations and distribution lines to reduce worker exposure to high-risk electrical tasks.,Tele-operated and semi-autonomous robotic manipulation for live working,Human,O/Y,O,RAI,O/Y,O,2,"Insulated lifting platforms, robotic manipulators, remote control systems, specialized insulated tools","Demonstrated capability for insulator cleaning, RTV spraying, and live line operations on 10 kV distribution lines",High system complexity; limited autonomy; slower task execution compared with skilled human crews,SEPRA projects 2012–2015; Li et al. 2016,2016,Electrician,Electricians,Electrician
M97,"Install, configure, and maintain supervisory control and data acquisition (SCADA) hardware, software, and communications used to monitor and control industrial processes.",49-2094.00,300.4.098,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,098,Provide real-time equipment condition data to remote control centers to support off-site supervision of hydropower plant operations.,Connected monitoring and remote-access systems (IoT-like supervisory connectivity),Human,G,G,RAI,G,G,1,"Plant monitoring systems, communication infrastructure, centralized SCADA/control centers",NA,"Effectiveness depends on network robustness, cybersecurity, and operator training
","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M97,"Install, configure, and maintain supervisory control and data acquisition (SCADA) hardware, software, and communications used to monitor and control industrial processes.",49-2094.00,200.4.014,Digital Twin,200,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",IoT communication and data transmission,RAI,G,G,Human,R,R,9,Wireless communication modules; network gateways; centralized monitoring servers; data transmission protocols,Achieves real-time data aggregation from multiple monitoring locations,Communication reliability affected by network coverage and interference,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
